0;0;10
0;1;10
1;2;8
2;3;10
2;4;8
3;5;9
4;6;10
4;7;9
4;8;8
5;9;6
5;10;7
5;11;6
6;12;10
6;13;10
6;14;7
7;15;5
7;16;7
7;17;6
7;18;7
7;19;6
7;20;7
8;21;10
8;22;10
8;23;10
8;24;10
9;25;9
10;26;7
10;27;4
10;28;7
10;29;5
11;3;10
11;30;9
11;31;8
11;32;10
11;33;8
11;34;9
11;35;9
11;36;9
11;4;8
11;37;8
11;38;9
11;39;8
11;40;9
11;41;7
11;42;8
11;43;9
11;44;10
11;45;9
11;46;10
11;47;8
11;48;10
11;49;6
11;50;8
11;51;9
11;52;10
11;53;8
11;54;9
11;55;5
11;56;9
11;57;8
11;58;9
11;59;8
11;60;10
11;61;10
11;62;10
11;63;10
11;64;10
11;65;10
11;66;10
12;67;8
12;68;8
13;69;10
13;70;10
13;71;10
13;72;10
13;73;10
13;74;10
13;75;10
13;76;10
13;77;10
13;78;10
13;79;10
13;80;10
14;81;8
14;82;8
14;39;6
14;83;8
15;84;8
15;85;6
15;86;7
15;87;8
15;88;5
15;89;8
15;90;9
15;91;7
15;92;8
16;93;4
16;94;5
16;75;6
16;95;10
16;96;6
17;97;8
17;98;7
17;99;3
17;100;5
17;101;9
17;102;10
18;103;7
18;104;7
18;105;8
19;106;10
19;107;9
20;108;6
20;109;6
20;110;8
20;111;7
20;112;7
20;113;7
20;114;7
20;115;7
20;116;7
20;117;8
21;118;5
21;119;10
21;120;8
21;121;7
21;122;9
21;123;9
21;124;10
21;61;9
21;125;7
22;30;8
22;126;8
22;127;8
22;85;5
22;128;8
22;129;9
22;130;8
22;131;8
22;132;6
22;133;5
22;134;8
22;135;8
22;136;6
22;137;8
22;138;8
22;79;7
23;139;7
23;140;8
23;141;8
23;142;7
23;143;8
23;80;9
23;144;8
24;145;8
24;146;7
24;147;6
24;148;7
24;149;4
24;150;8
24;151;9
24;152;9
24;153;9
25;154;8
25;155;5
25;156;7
25;157;9
25;158;4
25;73;7
25;159;5
25;49;8
25;160;4
25;136;6
25;161;8
